Application ID,Chief Investigator Team,Funding Scheme,Grant Title,Administering Institution,Grant Start Date,Total amount awarded,Plain Description
2042295,Assoc Prof Behzad Hajarizadeh; Prof Andrew Lloyd; Dr Yumi Sheehan; Prof Gregory Dore; Prof Alexander Thompson; Dr Marianne Martinello; Prof Jason Grebely; Assoc Prof Jane Davies; Assoc Prof Richard Gray; Dr Sophy Shih,Partnership Projects,A national research program guiding progress towards hepatitis C elimination in the prison,University of New South Wales,1/4/2025,1499541.2,"Hepatitis C infection causes progressive liver scarring, liver cancer and death. Hepatitis C is very common in the prisons, making this setting critical for hepatitis C control strategies, including delivery of testing and curative treatment. This project aims to develop a sustainable research framework to inform strategies to  enhance hepatitis C testing, treatment and prevention efforts in each state and territory to underpin national elimination efforts."
2040834,Dr Mo Hammoud,Investigator Grants,Generating the evidence required to enable health equity for gender and sexuality diverse populations in Australia,University of New South Wales,1/1/2026,688405,"Gender and sexuality diverse populations in Australia face higher morbidity rates than their heterosexual peers, with limited understanding due to small, non-probability samples. My goal is to reshape public health strategies by generating robust evidence to address these disparities, identify overlooked issues, and enhance healthcare access. By leveraging large-scale studies, I aim to strengthen the evidence base and develop strategies for improved chronic disease management."
2040835,Prof Kelly-Anne Phillips,Investigator Grants,"Precision Prevention, Targeted Treatment and Improved Survivorship to Decrease the Burden of Breast Cancer",University of Melbourne,1/1/2026,2763660,"Breast cancer affects 1 in 8 Australian women. Of all the cancers, breast cancer results in the largest number of years of healthy life lost from death and illness. My research will reduce this unacceptable burden of breast cancer for women and their families. Spanning prevention, through treatment to survivorship, it will facilitate reduced breast cancer incidence, better treatments and enhanced understanding of the effects of new treatments on ovarian function and fertility."
2040837,Prof Alexandra Corbett,Investigator Grants,Exploiting the unique functions of MAIT cells to drive the rational design of new vaccines and immunotherapies,University of Melbourne,1/1/2026,2818905,"Mucosal-associated invariant T (MAIT) cells detect metabolites from microbes, and provide protective immunity against bacterial infection, but can also cause pathology. This study seeks to define the unique molecular signals driving the activation and function of MAIT cells over the course of their immune response, develop methods to modulate their functions, and test the therapeutic impact of MAIT cell modulation on immunity to infections and tumours using mouse models."
2040839,Prof Peter Azzopardi,Investigator Grants,"Responsive, effective, efficient & accountable action for adolescent health in the Asia Pacific.",Murdoch Children's Research Institute,1/1/2026,2818905,"More than half of the world's adolescents live in the Asia Pacific region, and my earlier work showing these young people to have substantial unmet health needs. MY VISION for the next five years is to define the best actions for adolescent health in our region. By ‘best actions’, I mean actions that are responsive to specific needs, effective because they are evidence based and implementable, efficient because they are cost-effective and synergistic, and monitored to ensure accountability.    "
2040846,Prof Richard Payne,Investigator Grants,Development of Novel Anticoagulants with Improved Safety Profiles for Stroke Therapy,University of Sydney,1/1/2026,2954575,"This project will use cutting-edge technologies to discover safe and effective new ‘clot busting’ therapies for stroke. Strokes are caused by blockages in blood flow to the brain, starving the tissues of oxygen and nutrients. One Australian suffers a stroke about every 19 mins, but the only therapy available does not work for many patients. Our novel anticoagulants are expected to dissolve clots without risky bleeding to save lives, prevent disability and reduce the enormous burden of stroke."
2040856,Prof Mark Walker,Investigator Grants,Guiding Group A Streptococcus vaccines into clinical development.,The University of Queensland,1/1/2026,3014025,"Group A Streptococcus (StrepA) causes serious infections and autoimmune sequelae resulting in >500,000 deaths/year. Alarmingly, invasive StrepA infections are increasing in Australia. StrepA induced rheumatic heart disease principally afflicts Australian Indigenous populations. A commercial vaccine to prevent StrepA infection is not available, but in partnership with vaccine manufacturers, my research team will progress StrepA vaccine formulations into clinical development."
2040880,Dr Karen Oliver,Investigator Grants,Integrating monogenic and polygenic epilepsy risk factors to advance molecular diagnoses and to understand disease risk,University of Melbourne,1/1/2026,688405,"Epilepsy is a common neurological disease with many different types. Certain types of epilepsy are known to have a genetic basis; however, large gaps remain in our understanding. This project aims to fill in the gaps by studying patients and families with epilepsy to discover new epilepsy genes and risk factors. Knowing the genes and biological pathways involved in disease manifestation will inform future research, provide new therapeutic avenues, and lead to better patient outcomes. "
2040897,Dr Rongbin Xu,Investigator Grants,"Climate change, bushfire smoke, and human health: multi-country and multi-omics approach",Monash University,1/1/2026,656215.26,Human-induced climate change (HICC) has already caused many problems including increasing health burden caused by bushfire smoke. This project will: 1) quantify global and country-specific bushfire smoke exposure caused by HICC and the related health burden during 2000-2025; 2) determine biomarkers and biological mechanisms that can detect and explain the health impacts of bushfire smoke. The outputs will inform targeted and effective preventions and interventions and promote climate actions.
2040902,Assoc Prof Phillippa Taberlay,Investigator Grants,Capturing high-resolution epigenomes to redirect cell destiny in neurological disease states,University of Tasmania,1/1/2026,2818905,"The epigenome is the master regulator of cell fate and function, and subject to spectacular failure in disease. With frontier methodologies to capture epigenomes at unprecedented resolution, this project will focus on the aging brain to determine how brain cell-specific epigenetic changes drive neurological disease states in males and females, and importantly, how to reverse them. This work bridges the gap between technology and fundamental knowledge with the goal to improve future therapies.       "
2040904,Dr Jessica Schults,Investigator Grants,Better evidence and translation for healthcare associated infection prevention,The University of Queensland,1/1/2026,688405,"1 in 10 people admitted to hospital develop an infection as a complication of their healthcare. These infections lead to significant patient suffering and unnecessary deaths. Current methods for infection prevention and control are complex, inefficient and costly. In partnership with Queensland Health services and patients, I will develop state-of-the-art systems and knowledge translation solutions that inform infection control programs and combat rising infection-associated death rates."
2040907,Prof Emmanuel Stamatakis,Investigator Grants,Harnessing incidental physical activity and other 24-hour physical behaviour to prevent CVD and cancer,University of Sydney,1/1/2026,3014025,"Physical activity, sitting and sleep – termed “physical behaviours” – are major determinants of risk for cardiovascular disease and cancer, but we do not know what the optimal patterns of daily physical behaviour are. My program will harness the power of wearable devices to optimise guidelines and prevention practice by identifying the combined potential of more incidental physical activity, less sitting, and better sleep for CVD and cancer risk reduction. "
2040909,Dr Briony Hill,Investigator Grants,Guiding and delivering maternity healthcare that is free of weight stigma,Monash University,1/1/2026,1623700,"Two thirds of pregnant women experience frequent weight stigma, especially in healthcare. It has harmful effects on pregnancy and health outcomes. This research will address weight stigma in maternity healthcare and guidelines that inform care. It will generate new evidence on women’s experiences of weight stigma and its impacts, update guidelines to be non-stigmatising and implement better care into practice. Eliminating weight stigma from maternity care will improve women’s health outcomes."
2040918,Dr Zewen Kelvin Tuong,Investigator Grants,Thwarting Rare Blood Cancer in Kids with Single-cell Innovation (TRaCKIn),The University of Queensland,1/1/2026,1623700,"My research will innovate new approaches to predict relapse and develop more effective cancer vaccines for children with a rare but deadly form of blood cancer. I will achieve this by tracking unique gene signatures, akin to ""biometric fingerprints"" unique to each child's individual cancer and immune cell, during the treatment and remission phases. This will improve cancer relapse monitoring and tailor cancer vaccine development towards each child, safeguarding and improving their lives."
2040938,Prof Mark Febbraio,Investigator Grants,Uncovering the molecular mechanisms associated with exercise to develop therapies to treat obesity-related diseases,Monash University,1/1/2026,3014025,"Obesity can lead to many diseases such as diabetes, cardiovascular disease and cancer. In contrast, regular exercise can prevent or slow the progress of these diseases. To date, we do not know the precise ways obesity or exercise affects either the progression or prevention of these diseases.  This research program will attempt to better understand what obesity and exercise do to the body, so that we can develop new and better drugs to treat diseases associated with obesity. "
2040939,Assoc Prof Lachlan Miles,Investigator Grants,Using sodium ascorbate to reduce neuroinflammation and delirium after cardiac surgery,University of Melbourne,1/1/2026,469202.5,"Patients who require cardiac surgery have a 40–50% risk of developing an acute brain injury after their operation. These complications increase the risk of dying after surgery, and can reduce long-term quality of life substantially. A specially formulated solution of mega-dose Vitamin C appears very effective to prevent, or to reduce the severity of this condition. My program of research will establish the best dose of this therapy, how it works, and its safety in large animals and humans"
2040943,Dr Kylie Hunter,Investigator Grants,Advancing evidence synthesis methods to collaboratively improve child health outcomes,University of Sydney,1/1/2026,688405,"To answer health research questions researchers traditionally bring together results from studies published in journals. But often, not all required information is available in these articles. New methods bring together full datasets of previous studies. My research program will advance these methods, looking at how to find and exclude fraudulent or low-quality studies and reduce bias or ‘spin’ in interpretation. I will apply these methods to answer crucial questions on care of premature babies."
2040954,Dr Marios Koutsakos,Investigator Grants,Establishing protective immunity against antigenically diverse viruses,University of Melbourne,1/1/2026,1623700,"Viruses like influenza and SARS-CoV-2 keep changing to avoid recognition by the immune system. This research program will study how the immune system responds to different variants, with the goal of informing vaccine design. This work will advance our understanding of viral immunology and significantly improve human health. "
2040955,Prof Felice Jacka,Investigator Grants,Nutritional Psychiatry: Clarifying Mechanisms to Support Precision Interventions,Deakin University,1/1/2026,2954575,"Poor diet is a leading contributor to illness and death globally, and mental disorders are a major cause of disability. I have pioneered the field of Nutritional Psychiatry, establishing the link between diet and mental health. My research program will now generate critical new evidence on how diet influences mental health, supporting better interventions and outcomes for people with depression.  "
2040965,Dr Andrew Freeman,Investigator Grants,Unlocking the therapeutic potential of anti-inflammatory mesenchymal stromal cells through a refined mode of action,Monash University,1/1/2026,688405,"Cell therapy involves injecting specific types of cells into the bloodstream during disease for treatment. Mesenchymal stromal cells are a specialised type of cell that hold great potential in reducing inflammation in disease; however, they have shown mixed success in clinical trials to date. This project aims to uncover how these cells work in the body and discover innovative anti-inflammatory therapeutic targets that will improve patient outcomes."
2040971,Dr Emma Foster,Investigator Grants,Transforming Epilepsy Management through Evidence-Driven Approaches,Monash University,1/1/2026,688405,"Epilepsy is a major health issue, affecting over 250,000 Australians of all ages. Early diagnosis and treatment improve outcomes, but many Australians experiencing first seizures do not receive care that meets international standards. Additionally, half of those with epilepsy do not take their antiseizure medication as prescribed. My research program will use national healthcare data and interviews with people with epilepsy to find the best ways to improve epilepsy care and close knowledge gaps."
2040972,Dr Trevor Steward,Investigator Grants,Novel Neurobiological Treatment Mechanisms in Eating Disorders,University of Melbourne,1/1/2026,1623700,"Approximately 1.1 million Australians have eating disorders, but current treatments are ineffective, and developing new medications has stalled. My research will use advanced brain imaging technology to study how new drugs affect brain pathways in eating disorders. I will conduct studies on the impact of tirzepatide in binge eating disorder, ketamine for anorexia nervosa with depression, and orexin levels in bulimia. This work will aid in launching new treatment options for eating disorders."
2040973,Assoc Prof Linda Wakim,Investigator Grants,Generating a universal influenza vaccine,University of Melbourne,1/1/2026,2954575,"Influenza is a highly contagious, rapidly spreading respiratory pathogen that causes profound morbidity and mortality. Current influenza vaccines are suboptimal, they need to be updated and administered annually, and provide no protection in the event of a pandemic influenza outbreak. This research program will see the development of a novel universal 'one-shot’ influenza vaccine that provides long term protection against both seasonal and newly emerging pandemic influenza strains.  "
2040986,Prof Germaine Wong,Investigator Grants,Transforming Lives: Transplant for All and One Transplant for Life,University of Sydney,1/1/2026,2381830,"Kidney transplantation is a life saving treatment for many patients with kidney failure. However, it is not available to all patients who need one due to limited organ availability. Once transplanted, there are also many challenges including increased cancer and infection risks, and early graft loss from rejection. This program of work will implement novel interventions and strategies to drive sustainable improvements in health outcomes and overall well-being of kidney transplant patients.  "
2041012,Dr Thi Nguyen,Investigator Grants,Unravelling immune responses to severe respiratory viral infection and vaccination in humans,University of Melbourne,1/1/2026,2818905,"We develop robust & long-lasting immune responses to respiratory viral infections, yet some people still fall very ill despite being vaccinated. I will investigate immune responses that protect us from severe & fatal infections; understand why some people fail to generate protective antibodies to the flu vaccine; & identify key biomarkers aimed at reducing influenza disease impact in high-risk groups. This work will improve future vaccination regimens towards influenza & newly-emerging viruses."
2041019,Prof Marcello Rosa,Investigator Grants,Pathways to vision following lesions of the primary visual cortex,Monash University,1/1/2026,3014025,"Vision depends not only on the eyes, but also on many brain areas. Without the latter the visual information cannot be decoded, and the person becomes blind even if the eyes are spared. For example, when an area named the primary visual cortex (V1) is damaged by stroke or trauma, a type of profound blindness ensues, for which there is no treatment. I will explore how visual information can be channeled to non-damaged parts of the brain, in search of ways to restore vision following V1 damage."
2041040,Prof Mandana Nikpour,Investigator Grants,Improving cardiopulmonary outcomes in systemic sclerosis,University of Sydney,1/1/2026,2818905," Worldwide, Australia has the highest frequency of the autoimmune disease scleroderma, which affects people in the prime of life. Scleroderma can involve many organs within the body, particularly the heart and the lungs, and is associated with impaired physical function and markedly reduced life expectancy. This program of research aims to improve the outlook for those affected, through finding ways to determine who is at risk of poor outcomes and tailoring management to the individual.  "
2041048,Assoc Prof Deborah Mitchison,Investigator Grants,Creating A “Learning Health System” For Eating Disorder Treatment,University of Technology Sydney,1/1/2026,1623700,"Eating disorder (ED) treatment is currently not monitored for quality or safety, and yet we know that at least 50% of those who seek treatment have poor outcomes. This research program will embed a digital system to collect and collate clinical outcomes into ED clinics. The data will be used by consumers, clinicians, researchers and governments not only to tailor individual treatment, but to evaluate treatment at a national scale.   "
2041052,Dr Curtis Cai,Investigator Grants,Identifying molecular determinants of antiviral immunity conferred by effector T cells,University of New South Wales,1/1/2026,688405,"Primary immunodeficiencies arise from an error in a single gene in an individual from birth. As a result, many patients experience complications including increased susceptibility to life-threatening viral infections, severe allergies, and early-onset cancer. My research will uncover the immunological impact of such errors to support the identification of personalised treatments that alleviate symptoms and enhance patients’ quality of life. "
2041054,Dr Chu (CK) Yao,Investigator Grants,Targeting the bi-directional relationship between diet and microbes to optimise pouch health,Monash University,1/1/2026,688405,"After large bowel is removed in ulcerative colitis, inflammation of the pouch (pouchitis) commonly occurs. Diet is currently not part of the treatment plan for pouchitis. My research aims revolutionise its future management by understanding (1) what factors in diet and the pouch bacteria predict pouchitis, (2) how the pouch bacteria respond to diet in pouchitis, and (3) testing whether a specific diet strategy directed at the pouch bacteria is effective for these patients. "
2041062,Dr Ruebena Dawes,Investigator Grants,Enhanced analysis of splice-altering variants to improve diagnostic rate in rare disease,University of New South Wales,1/1/2026,688405,"RNA is the ‘voice’ of our DNA, allowing fine-tuning of our genetic code. Changes in our DNA that alter RNA splicing can cause disease; however, RNA splicing variants are hard for clinicians to interpret. My research vision is to build tools to interpret RNA splicing variants. These tools will help diagnose more individuals with rare genetic disorders, providing families access to support groups, informed treatment options, knowledge of disease progression, and genetic therapies."
2041063,Dr Bradley Gardiner,Investigator Grants,Harnessing Precision Medicine to Combat Infections in Transplant Recipients,Monash University,1/1/2026,688405,"Organ transplants are life-saving but require long-term medications to block the immune system to prevent rejection. This means transplant recipients suffer enormously from serious, complex infections. My research program aims to improve the lives of transplant patients by using new tests of immune function to optimize the dosing of immunosuppressive medications, predicting and anticipating those at high risk and intervening before infections occur. "
2041068,Prof Angela Morgan,Investigator Grants,"Genetics of speech disorders: improving diagnosis, prognosis and management",Murdoch Children's Research Institute,1/1/2026,2954575,"Speech and language disorders are one of the most common disorders affecting our nation. Over 50% of children in the NDIS have a speech or language disorder, with an annual cost exceeding $5 billion. Current management focuses on symptoms, not the underlying cause, with limited effectiveness. My work is changing practice, showing the relevance of genetics to Speech Pathology. Research will advance detection, diagnosis, prognostic counselling and treatment of patients to optimise life outcomes."
2041078,Dr Amy Hutchison,Investigator Grants,You are when you eat ! realising the importance of meal and macronutrient timing for health,The University of Adelaide,1/1/2026,600724,"Dietary interventions for the prevention and treatment of type 2 diabetes tend to place considerable emphasis on what people eat, with little to no consideration of WHEN they eat. This work will extend current explorations of chrono-nutrition, using continuous glucose monitoring to explore the impacts of meal size, frequency, timing as well as macronutrient content, especially dietary protein, on blood glucose control and health, to develop personalized nutrition strategies to improve health.   "
2041099,Prof Graeme Hankey,Investigator Grants,Clinical trials addressing top priorities for stroke research,University of Western Australia,1/1/2026,2000000,"Stroke affects 29,000 Australians each year, of whom 7,600 die, and there are 387,000 stroke survivors who are at risk of another stroke.  The program will address 4 of the top priorities for stroke research for stroke survivors by testing 4 new treatments which aim to protect the brain from damage during an acute stroke, reduce the likelihood of having another stroke, and help stroke survivors decide whether it is beneficial to take blood-thinning medicines to prevent another stroke. "
2041107,Prof Tim Stinear,Investigator Grants,Elimination of Mycobacterium ulcerans infection (Buruli ulcer),University of Melbourne,1/1/2026,3014025,Buruli ulcer is a neglected tropical skin infection caused by a bacterium. Through research led by my team over the past 20 years we now know the infection in Australia is spread by mosquitoes. In this project we will track the pathogen in the environment and eliminate Buruli ulcer by curing the infection in Australian native possums and by innovative mosquito control measures. We will also explore vaccines to prevent Buruli ulcer in humans.
2041108,Prof Benjamin Harrison,Investigator Grants,Targeting Novel Treatment Mechanisms in Mood and Anxiety Disorders,University of Melbourne,1/1/2026,2554575,"To reduce the substantial burden of mood and anxiety-related disorders on individuals and society, more effective treatments are needed. I will use advanced brain imaging technology to better understand how current treatments work for people with depression and posttraumatic stress disorder, with the goal of delivering new insights that will inform the development of improved future treatments."
2041117,Prof Marnie Blewitt,Investigator Grants,Long-lived remodelling of epigenetic state to treat disease,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,2954575,"In normal biology, genes can be switched on or off so that the same set of genes can result in many different cell types. If we can harness the power to switch genes on or off therapeutically then we could treat myriad incurable diseases. Here we will apply a new strategy to switch genes on and off. We will develop novel potential treatments for the neurodevelopmental disorder Prader Willi Syndrome and investigate in which other diseases our approach is suitable."
2041123,Assoc Prof Stephanie Filbay,Investigator Grants,Bridging the gap between evidence and practice to improve management of anterior cruciate ligament (ACL) injuries,University of Melbourne,1/1/2026,1623700,"An ACL (the main knee stabilising ligament) tear can have devastating outcomes. Patients are misinformed about treatments and physios lack skills to deliver quality care. We found that ACLs can heal, but we don’t know which ACLs will heal. To improve treatment of ACL tears, I will: 1) test a decision aid to inform patients about treatments 2) outline skills needed for physios to deliver quality care 3) develop and test an online course to train physios 4) discover which ACLs are most likely to heal"
2041127,Dr Christine Keenan,Investigator Grants,Unravelling epigenetic mechanisms to improve immunity,University of Melbourne,1/1/2026,1623700,"Our immune systems protect us remarkably well from a constant barrage of germs. However, this protection must be finely balanced to not overreact (as in asthma) or leave us vulnerable to infection (as in immune deficiency). My research program aims to understand how DNA is read differently in different cells, termed 'epigenetics', despite all cells of the body having the same DNA code, with the ultimate goal to develop new epigenetic-targeting drugs to restore healthy immunity in disease."
2041152,Dr Pratishtha Chatterjee,Investigator Grants,A new molecular era for dementia: Biomarker discovery through to implementation,University of Melbourne,1/1/2026,1603536.55,"Dementia diagnosis is evolving from clinical to biologically informed methods, with biomarkers now crucial for diagnosis, treatment, and monitoring. My research has shown the immense potential of blood-biomarkers in Alzheimer's disease (AD) diagnostics. However, there are still gaps to address. Here, I will focus on developing novel biomarkers for non-AD dementias, assess how other health factors affect both AD and non-AD dementia biomarkers, and test how well these biomarkers work in clinics."
2041168,Prof Sarah Robertson,Investigator Grants,Periconception mechanisms impacting fertility and pregnancy health,The University of Adelaide,1/1/2026,3014025,"Fertility and pregnancy disorders affect at least one in six intending parents and have long term impacts on women, men and children. This research will define how male and female factors interact before and during conception and develop tools to assist healthy embryo development and pregnancy progression. The goal is to reduce the incidence of infertility and pregnancy disorders, to deliver effective treatment options for these conditions, and maximise health outcomes for infants and families. "
2041176,Prof Jonathan Golledge,Investigator Grants,Walk and live better: Non-surgical therapies for Australians with peripheral artery disease (PAD),James Cook University,1/1/2026,2477287.5,"One million Australians (250 million people worldwide) have blockage of the arteries in the abdomen or legs, causing walking impairment, poor quality of life, major amputation and death. Currently the only treatment for this disease is surgery, but this has durability and safety limitations. This research program will deliver unique clinical trials to test new ways to treat this problem non-surgically with drugs, counselling, medication optimisation and exercise suited to all Australians."
2041194,Dr Tess Reynolds,Investigator Grants,Unlocking the future of robotic imaging for surgical procedural navigation and verification,University of Sydney,1/1/2026,1623700,"Robotic imaging systems have revolutionised surgical interventions. To deliver the future of 3D image guidance for challenging surgical interventions, where options remain limited, I will develop imaging technologies that promise to allow direct in-room surgical verification of orthopaedic hardware, adaptively sync to the patient to mitigate motion without mechanical intervention and facilitate long anatomical sites to be captured in a single image to assess anatomy alignment intraoperatively."
2041202,Dr Nikki Burdett,Investigator Grants,Targeting whole genome duplication as a therapeutic vulnerability in high grade serous ovarian cancer,University of Melbourne,1/1/2026,600724,"Ovarian cancer is an area of urgent need for new and effective treatments. I previously found that ovarian cancers which develop whole genome duplication (WGD) early have features that allow cancer cells to hide from the body’s immune system. These patients also have the worst prognosis. My research will explore the differences in ovarian cancer cells with WGD, assess changes linked with WGD even before the cancer is diagnosed,  and look for therapeutic targets to treat cancers with WGD."
2041205,Dr Li-Jin Chan,Investigator Grants,Understanding the role of an ancient fusogen in malaria parasite fertilisation and transmission,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,688405,"The global effort toward malaria elimination requires an array of tools to prevent, treat and block transmission of the malaria parasite. Blocking transmission involves targeting proteins that are essential for malaria parasite fertilisation in mosquitos, thereby preventing mosquito to human transmission. Understanding how these proteins work and discovering new fertilisation proteins is essential for developing effective interventions, like antibody treatments, to prevent transmission."
2041224,Dr Maria Di Biase,Investigator Grants,Patient-Centred Platforms for Preclinical Schizophrenia Research and Translation,University of Melbourne,1/1/2026,1623700,"Schizophrenia is a complex and severe brain disorder that can affect how someone thinks, feels, and behaves. The biological cause of schizophrenia likely differs from patient to patient, making it hard to develop optimal treatments that benefit all patients. This project is designed to develop personalised insights into schizophrenia by harnessing the power of stem cell science, genetics and neuroimaging. These insights could lead to improved diagnosis and tailored treatments for schizophrenia."
