Grant ID,MRFF Initiative,Grant Opportunity,Organisation,Organisation Type,"State 
or Territory ",Project Name,Project Summary,"Chief Investigator 
A/Project Lead",Chief Investigator Team,Type of Grant,Contract Start Date,Contract End Date,"Field(s) of Research
(DIVISION / Group / Field)",Broad Research Area, Total Grant Value ,Date Uploaded^
EPCD000007,Emerging Priorities and Consumer Driven Research,2019 Male Infertility Research,University of New South Wales,University,NSW,Men and infertility over the lifecourse (MAIL),"One in 20 men suffer from infertility. We have assembled a world–class team of researchers and consumer advocates, to apply advanced epidemiological and analytical techniques to answer key questions in male reproductive health. Four integrated research streams have been designed to provide a complete picture of the reproductive and general health of men suffering from infertility and their children over the lifecourse, thereby identifying potential causes and targets for prevention and treatment. Translation activities include a publicly available IVF patient predictor tool & fertility clinic success rate website allowing individuals to estimate their chances of IVF successful, clinical practice guidelines and a clinical trials portal.",Not applicable,Not available,One-off/ad hoc,6/4/2020,7/12/2025,Not available,Not available,4600000,Prior to 03/09/2024
MRF2002317,Coronavirus Research Response,2020 COVID-19 Diagnostics,University of Melbourne,University,VIC,COVID-19 Strategic Planning and Delivery of Testing,"This project consists of four key sub-projects that tackle the evolving pandemic, increase testing capability and control transmission of COVID-19. 1. 'One-step' nucleic acid detection that saves on critical lab consumables and is rapid. 2. Post-market evaluation of TGA approved diagnostic tests before to ensure the quality, accuracy and sensitivity. 3. Development of new testing protocols to enable more individuals to be tested. 4. Testing and validation of serological POCT and assays.",Professor Sharon Lewin,"Professor Sharon Lewin, Professor Benjamin Howden, Professor Tim Stinear, Professor Deborah Williamson, Doctor Mike Catton, Doctor Ian Monk, Doctor Romain Guerillot, Doctor Jean Lee, Doctor Norelle Sherry, Doctor Katherine Bond",Closed non-competitive,1/5/2020,31/12/2022,"MEDICAL AND HEALTH SCIENCES, Medical microbiology, Medical virology",Clinical Medicine and Science Research,2699278,Prior to 03/09/2024
MRF9200002,Coronavirus Research Response,2020 COVID-19 Diagnosis Platform (CovED),University of Sydney,University,NSW,Transforming recognition and assessment of COVID-19 in Australia using lung CT,COVID-19 is arguably the biggest health challenge facing Australia and the world for the last 100 years. Accurate assessment of the appearances of COVID-19 on lung CT scans is critically important to the management of patients and the containment of the disease. Research to date has shown large variability in clinicians’ ability to recognise CT lesions. The current work will address this variability and builds on our previous research achievements which has built effective systems for other diseases. The result will be an innovative intelligent education solution with AI integration that will transform COVID-19 diagnostic efficacy.,Professor Patrick Brennan,"Professor Patrick Brennan, Professor Stuart Grieve",Closed non-competitive,15/5/2020,30/6/2021,Not available,Not available,1042698,Prior to 03/09/2024
MRF9200001,Coronavirus Research Response,2020 National COVID-19 Clinical Evidence Taskforce,Monash University,University,VIC,COVID-19 Clinical Evidence Taskforce,"As clinicians work to provide the best possible care for Australians during the COVID-19 pandemic, we’re working to keep them up-to-date with the latest evidence. The National COVID-19 Clinical Evidence Taskforce is a collaboration of over 25 national clinical groups, supporting Australia’s healthcare professionals with continually updated, evidence-based clinical guidelines. In a world-first initiative, we use new technologies and methods to find and assess the latest research so we can update ‘living’ national guidelines every week. We provide the best evidence to support the best care for Australians during the COVID-19 crisis. ",Associate Professor Julian Elliott,"Associate Professor Julian Elliott, Professor Sally Green, Professor Jonathan Craig, Professor Sophia Zoungas, Professor Rachelle Buchbinder, Leanne Wells, Doctor Britta Tendal, Associate Professor Joshua Vogel, Doctor Sarah Norris, Doctor Tari Turner",Closed non-competitive,15/5/2020,30/6/2021,Not available,Not available,1500000,Prior to 03/09/2024
MRF9200003,Coronavirus Research Response,2020 COVID-19 PRO-COVER Trial,The Walter and Eliza Hall Institute of Medical Research,Medical Research Institute,VIC,COVID-19 Prophylaxis with Hydroxychloroquine in Front-line Health and Allied-health Care Workers - The COVID-SHIELD Trial,"As lock-down restrictions ease, there is potential for clusters of COVID-19 outbreaks. This places front-line healthcare workers at greater risk of becoming unknowingly infected or transmitting the SARS-CoV-2 virus that causes COVID-19. There is substantial international hype around the use of hydroxychloroquine (HCQ) as a prophylactic treatment, however, clear scientific evidence that it can prevent infection of SARS-CoV-2 is limited and a rigorous clinical trial is needed to determine if HCQ can provide benefit, harm or neither. The COVID-SHIELD trial will determine whether the drug hydroxychloroquine can protect healthcare workers from becoming infected with the SARS-CoV-2 virus.",Professor Marc Pellegrini,"Professor Marc Pellegrini, Professor Ian Wicks, Associate Professor Mandana Nikpour, Professor Karin Thursky, Doctor Maria Brosnan, Doctor Michelle Yong, Professor Monica Slavin",Closed non-competitive,15/5/2020,31/12/2021,Not available,Not available,3000000,Prior to 03/09/2024
MRFFREDI000001,Researcher Exchange and Development Within Industry,2019 Researcher Exchange and Development Within Industry,MTPConnect,Corporation,VIC,The MTPConnect REDI Program,"MTPConnect, an independent, not-for-profit organisation, drives connectivity, innovation, productivity and competitiveness in Australia’s medtech, biotech and pharma (MTP) sector. MTPConnect’s REDI program leverages a national alliance of proven education and training partners to systematically address current gaps in workforce skills, identify new/unknown gaps and meet the challenge of developing and retaining world-class talent who have industry experience in research translation, clinical development and commercialisation. Our program of industry-relevant training, industry placements and imbedded industry fellowships will support researchers, clinicians and industry and government participants and drive the sector’s future growth.",Doctor Daniel Grant,Not available,Open competitive,29/5/2020,31/12/2023,Not available,Not available,32000000,Prior to 03/09/2024
MRF1201375,Cardiovascular Health Mission,2019 Cardiovascular Health,Monash University,University,VIC,Using Polygenic Risk Scores to Target Statin Therapy in Primary Prevention,"Calculation scores by examining multiple genes predict the chance of having a heart attack. It is unknown whether they can guide use of treatments to prevent heart attacks. This clinical trial will determine whether statins, medications commonly used to lower cholesterol, will have a protective effect on the growth of plaques within blood vessels, in patients with different levels of polygenic risk. The findings will help to define how to best use polygenic risk scores in clinical practice.",Professor Stephen Nicholls,"Professor Stephen Nicholls, Professor Christopher Semsarian, Associate Professor Dennis Wong, Professor Sophia Zoungas, Associate Professor Jodie Ingles, Doctor Adam Nelson",Targeted competitive,1/6/2020,31/3/2025,"MEDICAL AND HEALTH SCIENCES, Cardiorespiratory medicine and haematology, Cardiology (incl. cardiovascular diseases)",Clinical Medicine and Science Research,1416095,Prior to 03/09/2024
MRF1200206,Cardiovascular Health Mission,2019 Cardiovascular Health,University of Melbourne,University,VIC,"A randomised controlled trial of ultra-early, minimally invasive surgery for intracerebral haemorrhage (EVACUATE)",Intracerebral haemorrhage (stroke caused by bleeding in the brain) is a major cause of death and disability and treatment options are limited. Surgery was not effective in past trials but was performed relatively late and used open brain surgery techniques that disrupt surrounding brain tissue. We propose a globally unique randomised controlled trial of minimally invasive surgery within 8 hours of stroke onset with the aim of reducing disability through early effective removal of blood clot.,Professor Bruce Campbell,"Professor Bruce Campbell, Professor Timothy Kleinig, Associate Professor John Laidlaw, Associate Professor Amal Abou-Hamden, Professor Leonid Churilov, Professor J Mocco, Associate Professor Christopher Kellner, Doctor Lan Gao, Professor Stephen Davis",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Neurosciences, Central nervous system",Clinical Medicine and Science Research,2138226,Prior to 03/09/2024
MRF1201433,Cardiovascular Health Mission,2019 Cardiovascular Health,University of New South Wales,University,NSW,Novel deep learning methods for large-scale cardiovascular risk screening using Australian digital health data,"Through two synergistic studies using routinely collected data and novel deep learning methods, we will deliver: (1) The world’s first dynamic cardiovascular risk prediction algorithm that uses clinical text data and longitudinal event sequences; and (2) The world's first mammography-derived cardiovascular risk prediction algorithm.",Professor Louisa Jorm,"Professor Louisa Jorm, Doctor Clare Arnott, Doctor Sebastiano Barbieri, Professor Patrick Brennan, Professor Anthony Rodgers, Professor Mark Woodward, Doctor Katrina Poppe, Doctor Ziba Gandomkar, Associate Professor Blanca Gallego Luxan, Professor Kirsty Douglas",Targeted competitive,1/6/2020,31/5/2025,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Health information systems (incl. surveillance)",Public Health Research,1467090.6,Prior to 03/09/2024
MRF1201384,Cardiovascular Health Mission,2019 Cardiovascular Health,University of New South Wales,University,NSW,Total Cardiac Care - STROKE: A randomised controlled trial of a comprehensive smartphone application-centric model of care to improve outcomes in stroke patients,"One in three patients are re-admitted to hospital within 6 months of successful treatment for stroke. We have developed a smartphone-based ‘hospital in the home’ system that allows patients, GPs and specialists to monitor blood pressure, heart rhythm, activity, and medication use daily. Patients and medical teams are alerted when signs indicate treatment changes are needed. Our study is aimed at proving this system can reduce the number of patients re-admitted to hospital after stroke.",Professor Ken Butcher,"Professor Ken Butcher, Doctor Sze-Yuan Ooi, Professor Nigel Lovell, Professor Kim Delbaere, Professor Zhao Yang Dong, Emeritus Professor Branko Celler, Professor Sallie-Anne Pearson, Doctor Thomas Lung, Emeritus Professor Siaw-Teng Liaw, Doctor Jennifer Yu",Targeted competitive,1/6/2020,31/5/2025,"MEDICAL AND HEALTH SCIENCES, Clinical sciences, Clinical sciences not elsewhere classified",Clinical Medicine and Science Research,1629905,Prior to 03/09/2024
MRF1200105,Cardiovascular Health Mission,2019 Cardiovascular Health,University of New South Wales,University,NSW,The SaltSwitch Online Grocery Shopping (OGS) Trial: A Novel Method for Reducing Blood Pressure among Individuals with Hypertension,"High blood pressure is a leading cause for heart diseases and stroke in Australia, and reducing salt intake to lower blood pressure is strongly recommended by guidelines. Online grocery shopping is transforming how Australians purchase food and offers an opportunity for nutrition intervention - We propose to test the efficacy and implementation of a scalable online grocery shopping intervention called SaltSwitch to help consumers choose lower salt products and reduce their blood pressure.",Associate Professor Jason Wu,"Associate Professor Jason Wu, Professor Bruce Neal, Professor Cliona Ni Mhurchu, Associate Professor Adrian Cameron, Associate Professor Mark Huffman, Doctor Kathy Trieu, Mr Fraser Taylor",Targeted competitive,1/6/2020,31/12/2023,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Public health and health services not elsewhere classified",Public Health Research,1687990.14,Prior to 03/09/2024
MRF1201196,Cardiovascular Health Mission,2019 Cardiovascular Health,University of Sydney,University,NSW,Colchicine After Stroke to Prevent Event Recurrence (CASPER) Study,"Inflammation plays a critical role in the rupture of artery plaques, leading to acute stroke. Despite current best treatments, many people remain at high risk of recurrent stroke events, predominantly because current therapies do not specifically target the inflammatory component of arterial disease. This project investigates the ability of colchicine, a safe and commonly used anti-inflammatory drug, to inhibit vascular disease-associated inflammation, thereby improving clinical outcomes.",Professor Anthony Keech,"Professor Anthony Keech, Professor Geoffrey Cloud, Associate Professor Sanjay Patel, Doctor Carlos Garcia Esperon, Professor John Simes, Professor Rachael Morton, Doctor Kristy Robledo, Doctor Andrzej Januszewski, Professor Val Gebski, Professor Lisa Askie",Targeted competitive,1/6/2020,30/9/2026,"MEDICAL AND HEALTH SCIENCES, Cardiorespiratory medicine and haematology, Cardiology (incl. cardiovascular diseases)",Clinical Medicine and Science Research,2997908.45,Prior to 03/09/2024
MRF1198679,Clinical Trials Activity,2019 International Clinical Trial Collaborations (Round 19.3),University of Melbourne,University,VIC,Transfusion Triggers in Cardiac Surgery Australia trial (TRICS-IV),"In Australia, over 11,000 adults undergo cardiac surgery annually with blood transfusion being common (over 40% overall). The decision-point for when to transfuse to balance the risks associated with anaemia versus transfusion remains unclear for some patients. Our research has identified that while it may be safe for older patients to have restricted blood transfusions (thus decreasing transfusion risk and saving resources), younger patients might actually benefit from more liberal transfusion.",Professor David Scott,"Professor David Scott, Professor Alistair Royse, Doctor Raymond Hu, Professor John Fraser, Professor Cyril David Mazer, Doctor Nadine Shehata, Professor Paul Bannon, Professor James Isbister",Restricted competitive,1/6/2020,31/1/2027,"MEDICAL AND HEALTH SCIENCES, Cardiorespiratory medicine and haematology, Cardiorespiratory medicine and haematology not elsewhere classified",Clinical Medicine and Science Research,869565.96,Prior to 03/09/2024
MRF1192497,Clinical Trials Activity,2019 International Clinical Trial Collaborations (Round 19.3),University of Melbourne,University,VIC,Circulating tumour DNA guidEd Therapy for stage IIB/C BRAF mutant positive mElanoma after surgiCal resecTION (DETECTION),"DETECTION is a phase III, international trial that will enrol 1050 patients with stage IIB/C melanoma. It will examine whether a blood test containing tumour DNA (ctDNA) will be able to identify patients at high risk of recurrence following their curative surgery even though their scans appear normal. It will also evaluate if treating these patients early with immunotherapy based on the ctDNA positive result will improve overall survival.",Doctor Shahneen Sandhu,"Doctor Shahneen Sandhu, Professor Sarah-Jane Dawson, Professor Georgina Long, Associate Professor Matteo Carlino, Associate Professor Alexander Menzies, Professor Richard Scolyer, Professor Helen Rizos, Professor Paul Lorigan, Associate Professor Victoria Atkinson, Professor Michael Henderson",Restricted competitive,1/6/2020,30/11/2025,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Molecular targets",Clinical Medicine and Science Research,3230670,Prior to 03/09/2024
MRF1199868,Clinical Trials Activity,"2019 Rare Cancers, Rare Diseases and Unmet Need - Childhood Brain Cancer",Monash University,University,VIC,CONNECT 1903: A Pilot and Surgical Study of Larotrectinib for Disease Control in Children with Newly-Diagnosed High-Grade Glioma with NTRK Fusion,"High grade gliomas (HGGs) are deadly brain cancers. Some HGGs in children have been found to have a genetic change, called a fusion, in a specific receptor which drives cancer growth. Larotrectinib is a new drug which targets this fusion and has shown remarkable results in children with cancers that have this fusion. CONNECT-1903 is an international study that will assess if treatment with lactrotrectinib is safe and can control the growth of HGGs that contain this fusion in children.",Associate Professor Nicholas Gottardo,"Associate Professor Nicholas Gottardo, Doctor Neevika Manoharan, Doctor Santosh Valvi, Doctor Maryam Fouladi, Ms Robyn Strong",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Cancer therapy (excl. chemotherapy and radiation therapy)",Clinical Medicine and Science Research,323898,Prior to 03/09/2024
MRF1199289,Clinical Trials Activity,"2019 Rare Cancers, Rare Diseases and Unmet Need - Childhood Brain Cancer",Monash University,University,VIC,MET-MED Trial: A phase III randomised double-blind placebo-controlled trial of metformin for cognitive recovery and white matter growth in paediatric medulloblastoma patients,"Medulloblastoma is the most common brain cancer in children, requiring aggressive treatment to survive. Unfortunately, most patients are left with long-term brain damage, including memory and intellectual problems. Studies using metformin to promote brain repair have shown promising preliminary results. The MET-MED trial will be the first time metformin is comprehensively examined as a brain recovery agent in children diagnosed with medulloblastoma.",Doctor Jordan Hansford,"Doctor Jordan Hansford, Doctor Cinzia De Luca, Doctor Donald Mabbott, Professor Eric Bouffet, Michelle Carr, Doctor Janelle Jones, Doctor Paul Wood",Targeted competitive,1/6/2020,31/5/2027,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Oncology and carcinogenesis not elsewhere classified",Clinical Medicine and Science Research,879903.5,Prior to 03/09/2024
MRF1199564,Clinical Trials Activity,"2019 Rare Cancers, Rare Diseases and Unmet Need - Childhood Brain Cancer",Monash University,University,VIC,The TiNT Trial: A phase II clinical trial of trametinib in paediatric patients with neurofibromatosis type 1 associated progressive optic pathway gliomas,"Neurofibromatosis type 1 (NF1) is a genetic disorder in children that can sometimes result in the development of a brain tumour in the optic nerves (Optic Pathway Gliomas, OPG). The TiNT clinical trial will discover if trametinib - a targeted therapy that is effective in some cancers - can be used to treat children with NF1-associated OPG. We will investigate if trametinib can reduce the size of the tumours as well as improve vision, quality of life, behaviour and neurodevelopment.",Associate Professor Geoffrey McCowage,"Associate Professor Geoffrey McCowage, Doctor Andrew Dodgshun, Associate Professor Jonathan Payne, Doctor Belinda Barton, Doctor Gabriel Dabscheck, Doctor Kathryn Kinross",Targeted competitive,1/6/2020,30/9/2025,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Cancer therapy (excl. chemotherapy and radiation therapy)",Clinical Medicine and Science Research,761210,Prior to 03/09/2024
MRF1199403,Clinical Trials Activity,"2019 Rare Cancers, Rare Diseases and Unmet Need - Childhood Brain Cancer",University of New South Wales,University,NSW,"LOGGIC: A phase III, randomised international multi-centre trial for LOw Grade Glioma In Children and adolescents","Low Grade Gliomas are the most common brain tumour of childhood. If they cannot be removed surgically they are often difficult to manage and often require years of treatment with chemotherapy. In this international trial we will, for the first time, assess the efficacy of a new targeted treatment that specifically shuts off the genetic driver of these tumours. We will compare this treatment with standard chemotherapy to define the best treatment for children with this intractable disease.",Associate Professor David Ziegler,"Associate Professor David Ziegler, Professor Stefan Pfister, Professor Claire Wakefield, Professor Olaf Witt, Doctor Dong-Anh Khuong-Quang",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Cancer therapy (excl. chemotherapy and radiation therapy)",Clinical Medicine and Science Research,1128497.5,Prior to 03/09/2024
MRF1201204,Clinical Trials Activity,"2019 Rare Cancers, Rare Diseases and Unmet Need - Neurological Disorders",Curtin University,University,WA,A randomised control trial in subjects with early Alzheimer's disease in exploring if probucol supports cognitive function through improved cerebrovascular function,"We have identified that leakage from blood-into-brain of fat/protein complexes can trigger Alzheimer’s disease (AD). Moreover, we have also identified an historic drug that inhibits the production and leakage into brain of these toxic fat/protein moieties. The drug of interest is well tolerated and has an excellent safety profile, providing rapid translational opportunities. This study may provide a completely new treatment opportunity for patients with AD.",Professor John Mamo,"Professor John Mamo, Professor Leon Flicker, Associate Professor Roger Clarnette, Professor Gerald Watts, Professor Nicola Lautenschlager, Doctor Carolyn Orr, Associate Professor Roslyn Francis, Associate Professor Michael Bynevelt, Professor Christopher Reid, Associate Professor Ryusuke Takechi",Targeted competitive,1/6/2020,31/5/2025,"MEDICAL AND HEALTH SCIENCES, Neurosciences, Central nervous system",Clinical Medicine and Science Research,1720000,Prior to 03/09/2024
MRF1199298,Clinical Trials Activity,"2019 Rare Cancers, Rare Diseases and Unmet Need - Neurological Disorders",Deakin University,University,VIC,"Does repetitive transcranial magnetic stimulation (rTMS), compared to sham rTMS, improve social communication in adolescents and young adults with autism spectrum disorder (ASD)?","This is a multisite clinical trial to assess whether a form of non-invasive brain stimulation, repetitive transcranial magnetic stimulation (rTMS), can safely improve social symptoms in adolescents and young adults with autism spectrum disorder (ASD). rTMS has been established as a safe and effective treatment for a range of brain-based conditions, including depression, migraine, and obsessive compulsive disorder, and there is evidence to suggest it could be effective in ASD.",Professor Peter Enticott,"Professor Peter Enticott, Professor Paul Fitzgerald, Professor Karen Barlow, Professor Ian Hickie, Doctor Melissa Licari, Doctor Nigel Rogasch, Professor Christel Middeldorp, Associate Professor Scott Clark, Doctor Ann-Maree Vallence, Doctor Kelsie Boulton",Targeted competitive,1/6/2020,31/10/2025,"PSYCHOLOGY AND COGNITIVE SCIENCES, Psychology, Biological psychology (neuropsychology, psychopharmacology, physiological psychology)",Clinical Medicine and Science Research,1903208,Prior to 03/09/2024
MRF1200254,Clinical Trials Activity,"2019 Rare Cancers, Rare Diseases and Unmet Need - Neurological Disorders",Monash University,University,VIC,Sodium Selenate as a Disease Modifying Treatment for Progressive Supranuclear Palsy (Sodium Selenate for PSP),"Progressive supranuclear palsy (PSP) is a fatal, neurodegenerative disease that affects people >40 years. Patients suffer progressive loss of balance, abnormal eye movements and reduced thinking ability, particularly planning, organisation and language. There is currently no cure or treatment that targets the underlying cause. This clinical trial will test the effectiveness of sodium selenate as a new treatment to slow or stop the progression of patients affected by this devastating disease.",Professor Terence O'Brien,"Professor Terence O'Brien, Doctor Kelly Bertram, Doctor Lucy Vivash, Doctor Andrew Evans, Associate Professor Thomas Kimber, Associate Professor John O'Sullivan, Doctor Charles Malpas, Associate Professor Joanne Fielding, Professor Dennis Velakoulis, Professor Meng Law",Targeted competitive,1/6/2020,31/5/2027,"MEDICAL AND HEALTH SCIENCES, Neurosciences, Central nervous system",Clinical Medicine and Science Research,2639490,Prior to 03/09/2024
