ID,Manual_Sleep_Topic,Funding_body,Scheme,Organisation,Investigators,Date,Funding,Summary
"DP200100784",no,ARC,"ARC Discovery Projects","University of Adelaide","Prof Gavin Rowell; Dr Sabrina Einecke; Prof Miroslav Filipovic",01-Jan-0020,369535,"The Dawn of Extreme Gamma Ray Astronomy. This project aims to reveal the highest energy cosmic-ray particles in our galaxy, produced in extreme and still unknown astrophysical processes. Their interaction with nuclei in space produces the highest energy gamma ray light. Our project will make use of this extreme gamma ray light with upgraded and next-generation gamma-ray telescope arrays. With accompanying data from Australian radio telescopes, and computer models of the cosmic ray interactions, our project can finally determine from where these cosmic rays originate, yielding insight into our galaxy's evolution. Complex machine learning methods will be needed in a project that provides a world-leading student training ground, motivated by a century old mystery in astronomy."
"DP200100790",no,ARC,"ARC Discovery Projects","University of Queensland","Dr Nicole Webster; Dr Andrew Negri; Prof Michael Wagner",01-Jan-0020,283905,"Quantifying the impacts of environmental stress on marine microorganisms. Microorganisms underpin marine ecosystem health, yet there is limited understanding of how they will respond to different environmental pressures. This project will resolve this critical knowledge gap by developing a unique molecular platform for deriving quantitative stress thresholds for microbial communities inhabiting key reef habitats (seawater, sediments, invertebrates). Quantifying how reef microorganisms respond to a broad suite of environmental perturbations (temperature, nutrients, contaminants), will generate stress-response data that can be incorporated alongside eukaryotic data in environmental assessments, greatly improving the ecological relevance and reliability of risk and vulnerability assessments."
"DP200100796",no,ARC,"ARC Discovery Projects","Monash University","Prof Martin Scanlon; Prof Chris Porter; A/Prof Michelle Halls; Dr Bradley Doak",01-Jan-0020,704762,"Developing new tools for chemical biology. We will develop new synthetic strategies to support the development of small molecule chemical probes that bind with high affinity and specificity to a target protein. Such chemical probes are invaluable in elucidating the role of specific proteins in biological pathways. Our novel strategy aims to be rapid, efficient in its use of materials and widely applicable to a range of different protein targets. The core of our approach involves using biophysical binding assays to characterise compounds that are produced on small scale using parallel chemistry. This approach will enable better chemical probes to be developed more rapidly at lower cost than is currently possible."
"DE200100653",no,ARC,"ARC Discovery Early Career Researcher Award","University of New South Wales","A/Prof Sarah Walker",01-Jan-0020,420322,"Tools of racial control: an economic analysis of laws vs. violence. This project aims to develop and empirically test a theory of racial violence, which predicts that as racist laws are removed, racial violence increases. To test this hypothesis, I will construct a new, comprehensive dataset of lynchings and racist legislation in post-Civil War America, where newly freed blacks gained significant freedoms, but also experienced widespread violence. The empirical analysis proposes to identify a novel mechanism for racial violence in this context: a desire for racial control in areas that incurred shocks to the white sex ratio during the Civil War and distorted marriage markets thereafter. The findings aim to significantly contribute to our understanding of racial violence in both the US and Australia today."
"DP200100824",no,ARC,"ARC Discovery Projects","Australian National University","Dr Ulrich Faul; Prof Ian Jackson; Dr Katharina Marquardt",01-Jan-0020,264932,"Chemical influences on the seismic structure of the Earth's upper mantle. This project aims to determine the sensitivity of the seismic properties of Earth’s upper mantle (to 400 km depth) to variations in the prevailing chemical environment. The unique capability of the ANU Rock Physics Laboratory for low-frequency measurement of wave speeds and attenuation will be exploited to clarify the newly discovered importance of redox conditions, and document the effect of varying proportions of the most abundant upper-mantle minerals olivine and pyroxene. The expected outcome will be a robust and comprehensive model to guide the interpretation of the complex architecture of the upper mantle, and thereby provide an improved understanding of the tectonic processes responsible for its evolution through geological time."
"DP200100830",no,ARC,"ARC Discovery Projects","Monash University","Prof Jonathan Corcoran; Prof Rebecca Wickes; A/Prof Danielle Reynald; Prof Christopher Browning",01-Jan-0020,384858,"Everyday guardianship: A space time approach to crime prevention . This project aims to identify the temporal and spatial elements that influence the crime prevention actions of private citizens. Taking an interdisciplinary approach and applying a cutting edge methodology, it will be the first study to consider the capacity and availability of capable guardians and their intersection with the environmental contexts they frequent. The project intends to generate new knowledge on the resources needed to ensure individuals can effectively respond to problems when and where they occur. Given the enormous costs of crime to society, the expected outcomes of this project will lead to the development of economically efficient and practical community crime prevention programs that benefit the wider community. "
"DP200100832",no,ARC,"ARC Discovery Projects","Macquarie University","Prof John Swaddle; Prof Simon Griffith; Prof Mark Taylor",01-Jan-0020,547570,"The sparrows in the mining towns: a century of adaptation to contamination. Our research will characterise how contamination from the extraction of precious metals can spread through the environment and how it effects a highly urbanised bird – the house sparrow. In many cases, populations of these birds have been intimately associated with mining operations for over a century, and our recent work has provided evidence of adaptation over time. House sparrows provide a great natural system to understand the genetic potential of organisms to adapt to anthropomorphic change in the environment connected with the resources industry. Our work, will bring new insight into the future management of environmental contamination, and the mitigation of adverse effects arising from resource extraction."
"DP200100834",no,ARC,"ARC Discovery Projects","University of Adelaide","Prof Andrea Bertozzi; Prof Yvonne Stokes; Dr Thomas Harding",01-Jan-0020,400375,"Prediction of inertial particle focusing in curved microfluidic ducts. This project aims to develop mathematical models to predict migration of particles suspended in flow through curved microfluidic ducts and their focusing by size to different regions in the cross-section of the duct. New knowledge in mathematics and engineering will be generated through models that capture the two-way force balance between fluid and particles and by a novel use of asymptotics for computational efficiency. Expected outcomes are understanding of the physics that drives particle migration and the parameters that may be used to control particle focusing. This will benefit design and operation of microfluidic devices for particle sorting as required for ""liquid biopsy"", the isolation of cancer cells in a routine blood sample."
"DE200100661",no,ARC,"ARC Discovery Early Career Researcher Award","University of Technology Sydney","A/Prof Gayathri Naidu",01-Jan-0020,449149,"Nanoparticle with Metal Organic Framework for Lithium Recovery from Brine. The project aims to develop technology enabling lithium to be cost-effectively extracted from brine. Today Australia meets the increasing demand for lithium by mining hardrock lithium, an environmentally damaging activity. An alternative is to source lithium from brine produced as industrial wastewater (in desalination or shale gas production). The main challenge that brine presents to selectively extracting lithium is competing ions. By advancing knowledge of nanomaterials and membrane distillation, the project expects to overcome both this technical challenge and other practical challenges. From wastewater, the anticipated system will produce additional clean water and a valuable commodity that can offset the cost of water treatment. "
"DP200100848",no,ARC,"ARC Discovery Projects","University of Sydney","Prof Katrina Jolliffe",01-Jan-0020,473831,Molecular probes for selective sensing of membrane phospholipids. The goal of this project is to develop a toolkit of molecular probes that are able to selectively bind to the phospholipids that constitute a large part of biological membranes. Membranes are composed of over one thousand structurally different lipid molecules but we do not have a clear understanding of how these structural differences impact on cell function. This project will provide new tools that can be applied to expand our knowledge of the impact of lipid diversity on biological function. This will underpin advances throughout  cell biology. It will provide new opportunities for interdisciplinary collaboration between synthetic chemists and cell biologists.
"DP200100860",no,ARC,"ARC Discovery Projects","University of New South Wales","Prof Boris Martinac; Prof Ben Corry; Prof Eduardo Perozo",01-Jan-0020,916074,"Force-from-lipids biophysical principle underlying mechanotransduction. The major aim of this project is to determine evolutionary conserved physical principles of mechanotransduction in living cells through structure and function studies of PIEZO mechanoreceptor channels playing a crucial role in senses such as touch and pain in animals and humans. Mutations in these channels can cause numerous genetic disorders, including hereditary anaemias and joint contractures. Since they have been shown to respond to mechanical stimuli in the same manner as mechanoreceptor channels of organisms from bacteria to humans the intended outcome of this project is to uncover the unifying principles of mechanotransduction anchored in the laws of physics and chemistry that have guided the force-dependent design of all life forms."
"IN200100012",no,ARC,"ARC Discovery Indigenous","Edith Cowan University","Prof Clint Bracknell; Prof Pierre Horwitz; Prof Linda Barwick; A/Prof Aaron Allen; A/Prof Daniel McAullay",01-Jan-0020,921066,"Restoring on-Country performance: song, language and south coast landscapes. This project aims to investigate relationships between place, people and endangered performance traditions in the south coast region of Western Australia. For the first time, it will bring together work on archival song and language material, ecological readings of landscape and Indigenous community expertise to extend and enhance knowledge of critically endangered Nyungar songlines. Expected outcomes include increased community capacity to develop, maintain and share a place-based performance repertoire and the potential to nourish social cohesion, strengthen connection to Country and aid re-interpretation of the landscape. This should provide benefits to Indigenous wellbeing, environmental understanding and processes of reconciliation."
"DP200100874",no,ARC,"ARC Discovery Projects","Griffith University","Prof Bernd Rehm; Em/Prof Neil Foster; Prof Linda Lua",01-Jan-0020,536968,"Enhancing biopharmaceuticals: A disruptive bioseparation resin technology. This project aims to develop an innovative and disruptive platform technology for designing and manufacturing tailor-made high-performance bioseparation resins to enhance biopharmaceuticals manufacturing.  Bacterial cell factories will be developed to enable biotechnological production of innovative polyester bead-based bioseparation resins, which will revolutionise manufacturing of biopharmaceuticals. Expected outcomes of this project are cost-effective and strongly enhanced approaches for biopharmaceuticals recovery, thereby providing significant benefits to accelerate research and development in early stage discovery and manufacture of biologics, therapeutic proteins and vaccines."
"DP200100876",no,ARC,"ARC Discovery Projects","University of Western Sydney","A/Prof Natalie Ebner; Prof Phoebe Bailey; Prof Ahmed Moustafa; Prof Gabrielle Weidemann",01-Jan-0020,285732,"Taking advice: Limits and potentials of social decision-making in older age. Older adults are increasingly victims of financial fraud and abuse. While well-intentioned advice has the potential to improve financial decision-making, ill-intentioned advice can lead to exploitation. This project will use extensive behavioural testing to establish the factors governing how much weight older adults give to advice depending on the type of advisor, the type of advice, and feedback about advice quality. The outcome will be a model of the influence of advice on decision-making in ageing. This will provide an evidence base to create best practice guidelines, interventions, and decision aids that will reduce exploitation and increase the independence and wellbeing of Australia’s rapidly ageing population."
"DP200100883",no,ARC,"ARC Discovery Projects","Macquarie University","A/Prof Bernadette Richards; Dr Amanda Johnson; Prof Wendy Rogers; Dr Katrina Hutchison; Prof Robyn Clay-Williams; Prof Guy Maddern; Dr Quinn Grundy",01-Jan-0020,327399,"Support or sales? Medical device representatives in Australian hospitals. Medical device representatives provide crucial support to clinicians using complex medical equipment. However, their obligation to maximise sales conflicts with their support role. Increasing uptake of devices potentially impacts patient safety and healthcare costs, making it important to understand the involvement and influence of device representatives. The proposed research will investigate the ethical and legal impacts of device representatives in Australian hospitals, leading to new knowledge and innovative ethical and legal analyses of their activities. Benefits include a policy framework, new standards for managing device representatives’ interactions, and clarity about ethical and legal obligations of clinicians and institutions."
"DP200100886",no,ARC,"ARC Discovery Projects","Swinburne University of Technology","Prof Yang Xiang; Prof Jun Zhang; Prof Sheng Wen",01-Jan-0020,442242,"Developing Adversary-Aware Classifiers for Android Malware Detection. Smartphones have become increasingly ubiquitous in people’s everyday life. However, it was reported that one in every five Android applications were actually malware, considering that Android has taken 88% market share of mobile phones. As an effective technique, machine learning has been widely adopted to detect Android malware. However, recent work suggests that deliberately-crafted malware makes machine learning ineffective. In this project, we propose to develop a series of new techniques, such as 1) Android contextual analysis, 2) wrapper-based hill climbing algorithm, and 3) ensemble learning, to solve this problem. The outcomes will help Australia gain cutting edge technologies in adversarial machine learning and mobile security."
"DP200100892",no,ARC,"ARC Discovery Projects","Monash University","Prof Damian Dowling",01-Jan-0020,460287,"Unlocking the secrets of the mitochondrion. This project aims to determine the frequency and mechanisms by which male-harming mutations (those with negative effects limited to males) accrue within the mitochondrial DNA. Theory predicts maternal inheritance of mitochondrial DNA will lead to accumulation of these mutations, but the real-world implications of this theory are unknown. Leveraging an innovative approach, this project expects to generate new knowledge into the causes of sex differences in physiology and health. Expected outcomes include insights that advance understanding of fundamental biological processes, and training of students. Expected benefits include strengthening of Australia’s research capacity, by setting the research agenda in this rapidly developing field."
"DE200100679",no,ARC,"ARC Discovery Early Career Researcher Award","University of Adelaide","Dr Catia Malvaso",01-Jan-0020,426108,"Child maltreatment, youth and adult offending: Pathways and prevention. This project aims to investigate when, how and for whom experiences of child abuse and neglect lead to youth and adult offending. It expects to generate evidence needed to inform preventive interventions that can alter pathways from maltreatment to offending by identifying when to intervene, which factors to target, and for whom. Expected outcomes include a deeper understanding of child protection, developmental and school factors that influence life course offending pathways, and the translation of these findings to inform prevention. This should increase the ability to effectively design and target prevention initiatives that aim to improve outcomes for individuals, families and communities who bear the costs of maltreatment and crime."
"DP200100902",no,ARC,"ARC Discovery Projects","University of Melbourne","A/Prof Juliet Rogers; Prof Nan Seuffert; A/Prof Maree Pardy; Dr Sahar Ghumkhor",01-Jan-0020,473408,"The effects of female genital mutilation laws in Australia. This project aims to produce new knowledge about laws that have criminalised female genital mutilation (FGM) in Australia since 1994. FGM laws are now subject to robust international criticism, as well as increased concerns among the  affected communities.  Through the use of innovative primary data collection strategies with law and policy makers, justice system officials and with affected communities in Australia and the UK, the project seeks to produce robust evidence and original insights into the effects of these laws and the potential impacts of proposed legal initiatives. Expected benefits include enhanced legal and policy approaches to FGM that will assist with safeguarding the wellbeing of women and children."
"DE200100683",no,ARC,"ARC Discovery Early Career Researcher Award","University of Queensland","Dr Matthew Adams",01-Jan-0020,440932,"Catastrophic shifts: the value of knowing more about ecosystem feedbacks. Ecosystems respond to gradual change in unexpected ways. Feedback processes between different parts of an environment can perpetuate ecosystem collapse, leading to potentially irreversible biodiversity loss. However, it is unclear if greater knowledge of feedbacks will ultimately change environmental decisions. The project aims to identify when feedbacks matter for environmental decisions, by generating new methods that predict the economic benefit of knowing more about feedbacks. Combining ecological modelling and value-of-information theory, the outcomes of these novel methods will provide significant and broad environmental benefits, by enabling managers to make informed decisions and stay one step ahead of potential ecosystem collapse."
"DP200100909",no,ARC,"ARC Discovery Projects","University of New South Wales","A/Prof Jason Chilvers; Prof Alison Ritter; Prof Kari Lancaster; Prof Matthew Kearnes",01-Jan-0020,315594,"Designing illicit drug policy solutions: the role of participation. This project aims to study whether the design of illicit drug policies can be enhanced with participation. As a complex social problem, the development of new policy design solutions requires participatory processes which engage multiple stakeholders and make explicit the underlying values and goals. The project aims to study the effects of participatory policy design and generate new innovative technologies of participation. The expected outcomes are new knowledge and practices for policy design, including policy design solutions for three current policy dilemmas for Australian governments. The benefits of more effective and participatory illicit drug policies include the economic, social and health gains accrued when policy works."
"DE200100686",no,ARC,"ARC Discovery Early Career Researcher Award","University of Queensland","Dr Zoe Staines",01-Jan-0020,392467,"Unemployment in remote Australia: exploring policy reform impacts. This project aims to produce policy-relevant knowledge about the effects of the Australian Government's changing remote employment policies in four remote Indigenous communities. These policies have not yielded positive outcomes to date; more empirical evidence is needed. This project will be the first to explore the lived experiences of employment service practitioners & participants through an innovative policy analysis and ethnography. It will deliver significant benefits, such as elevating marginalised policy subjects' voices/experiences in policy debates, contributing to efforts at improving employment/social outcomes, & speaking to debates about how the state can work effectively with remote Indigenous communities to improve outcomes."
"DP200100914",no,ARC,"ARC Discovery Projects","University of Melbourne","Prof Grant Jensen; Prof Eric Reynolds; A/Prof Paul Veith; Prof Eric Hanssen",01-Jan-0020,615076,"Structural Characterisation of the Type IX Secretion System. The Type IX Secretion System present in diverse bacteria of veterinary, agricultural, environmental and industrial importance enables effector proteins to be secreted and attached to the cell surface where they contribute to disease pathogenesis or degrade biopolymers of commercial interest. This project aims to determine the structure and assembly mechanism of this complex secretion nanomachine comprising 15 different proteins using state of the art microscopy. Knowledge of the structure will greatly enhance our understanding of secretion mechanisms and our ability to both inhibit the system to treat disease in animals or manipulate the system for industrial applications providing future economic and environmental benefits to our nation."
